Paper Title: An evolutionary multiobjective sleep-scheduling scheme for differentiated coverage in wireless sensor networks
8,Energy aware and energy efficient routing protocol for adhoc network using restructured artificial bee colony system,No PDF Found
9,Improvement of AODV routing on MANETs using fuzzy systems,No PDF Found
10, Evolutionary computing in telecommunication network design: A survey,5
11,Challenges and recent advances in QoS provisioning in wireless mesh networks,No PDF Found
12, Evolutionary computing in telecommunications: A likely EC success story,No PDF Found
13,A survey on fuzzy reasoning applications for routing protocols in wireless ad-hoc networks,No PDF Found
14,Multi-algorithm co-evolution strategy for dynamic multi-objective TSP,No PDF Found
15, Routing for wireless mesh networks with multiple constraints using fuzzy logic.,No PDF Found
16,An evolutionary programming algorithm for finding constrained optimal disjoint paths for multihop communication networks,No PDF Found
17,Multiple criteria network routing with simulation results,No PDF Found
18,The fuzzy based QMPR selection for OLSR routing protocol,No PDF Found
19,Learning autonomic security reconfiguration policies,No PDF Found
20,A new QoS multicast routing model and its immune optimization algorithm,No PDF Found
21,A multiobjective optimization framework for routing in wireless ad hoc networks,0
22, A strategy to reduce the control packet load of aodv using weighted rough set model for manet,No PDF Found
23,A Multi-objective QoS optimization with fuzzy based parameter setting for real-time multicasting,1
24,Fuzzy-based multi-constrained quality of service distance vector routing protocol in mobile ad-hoc networks,No PDF Found
25, Intelligent Multipath Routing Protocol For Mobile Ad Hoc Network,1
26,An evolutionary algorithm for dynamic multi-objective TSP,No PDF Found
27,Trust Level and Routing Selection for Mobile Agents in a Smart Home,No PDF Found
28,A parallel multi-algorithm solver for dynamic multi-objective TSP (DMO-TSP),0
29,Towards a generic framework for wireless sensor network multi-criteria routing,1
30,"Topology Control, Routing Protocols and Performance Evaluation for Mobile Wireless Ad Hoc Networks",1
,Total,10
"
"
